id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;job;requests;1566465349.3234112;-0.2584247589111328;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-07;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-07;265866;200;True;
1;job;requests;1566465350.1161945;-0.04783439636230469;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-08;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-08;233765;200;True;
2;job;requests;1566465350.6842787;-0.04887270927429199;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-09;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-09;300582;200;True;
3;job;requests;1566465351.2586772;-0.039609432220458984;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-10;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-10;323127;200;True;
4;job;requests;1566465351.8243053;-0.04085421562194824;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-11;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-11;322286;200;True;
5;job;requests;1566465352.3906665;-0.05784916877746582;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-12;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2016-12;347822;200;True;
6;job;requests;1566465352.9761999;-0.04313397407531738;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-01;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-01;336662;200;True;
7;job;requests;1566465353.5444071;-0.049729108810424805;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-02;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-02;317843;200;True;
8;job;requests;1566465354.1209905;-0.05286097526550293;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-03;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-03;269735;200;True;
9;job;requests;1566465354.6952183;-0.0398106575012207;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-04;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2017-04;263665;200;True;
