id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;job;requests;1566396782.7351992;-0.263932466506958;https://data.police.uk/api/forces;https://data.police.uk/api/forces;2258;200;True;
1;job;requests;1566396789.3015397;-0.20383691787719727;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2018-04;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2018-04;335423;200;True;
2;job;requests;1566396790.0612962;-0.2038583755493164;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2018-05;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2018-05;378671;200;True;
3;job;requests;1566396790.8570156;-0.0879664421081543;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2018-06;https://data.police.uk/api/stops-force?force=avon-and-somerset&date=2018-06;332105;200;True;
4;job;requests;1566396791.5489676;-0.05187845230102539;https://data.police.uk/api/stops-force?force=bedfordshire&date=2018-04;https://data.police.uk/api/stops-force?force=bedfordshire&date=2018-04;79742;200;True;
5;job;requests;1566396792.1248198;-0.051880598068237305;https://data.police.uk/api/stops-force?force=bedfordshire&date=2018-05;https://data.police.uk/api/stops-force?force=bedfordshire&date=2018-05;75595;200;True;
6;job;requests;1566396792.7045665;-0.06795167922973633;https://data.police.uk/api/stops-force?force=bedfordshire&date=2018-06;https://data.police.uk/api/stops-force?force=bedfordshire&date=2018-06;63154;200;True;
7;job;requests;1566396793.3205183;-0.06385350227355957;https://data.police.uk/api/stops-force?force=cambridgeshire&date=2018-04;https://data.police.uk/api/stops-force?force=cambridgeshire&date=2018-04;64085;200;True;
8;job;requests;1566396793.9082315;-0.07997679710388184;https://data.police.uk/api/stops-force?force=cambridgeshire&date=2018-05;https://data.police.uk/api/stops-force?force=cambridgeshire&date=2018-05;94061;200;True;
9;job;requests;1566396794.5042133;-0.05585956573486328;https://data.police.uk/api/stops-force?force=cambridgeshire&date=2018-06;https://data.police.uk/api/stops-force?force=cambridgeshire&date=2018-06;67693;200;True;
10;job;requests;1566396795.100055;-0.05985903739929199;https://data.police.uk/api/stops-force?force=cheshire&date=2018-04;https://data.police.uk/api/stops-force?force=cheshire&date=2018-04;96585;200;True;
11;job;requests;1566396795.7117686;-0.05598640441894531;https://data.police.uk/api/stops-force?force=cheshire&date=2018-05;https://data.police.uk/api/stops-force?force=cheshire&date=2018-05;118989;200;True;
12;job;requests;1566396796.2837663;-0.05598020553588867;https://data.police.uk/api/stops-force?force=cheshire&date=2018-06;https://data.police.uk/api/stops-force?force=cheshire&date=2018-06;102205;200;True;
13;job;requests;1566396796.875477;-0.04799675941467285;https://data.police.uk/api/stops-force?force=city-of-london&date=2018-04;https://data.police.uk/api/stops-force?force=city-of-london&date=2018-04;68573;200;True;
14;job;requests;1566396797.4553301;-0.07601189613342285;https://data.police.uk/api/stops-force?force=city-of-london&date=2018-05;https://data.police.uk/api/stops-force?force=city-of-london&date=2018-05;75605;200;True;
15;job;requests;1566396798.055321;-0.05591154098510742;https://data.police.uk/api/stops-force?force=city-of-london&date=2018-06;https://data.police.uk/api/stops-force?force=city-of-london&date=2018-06;57777;200;True;
16;job;requests;1566396798.631167;-0.05185270309448242;https://data.police.uk/api/stops-force?force=cleveland&date=2018-04;https://data.police.uk/api/stops-force?force=cleveland&date=2018-04;38346;200;True;
17;job;requests;1566396799.215023;-0.05187845230102539;https://data.police.uk/api/stops-force?force=cleveland&date=2018-05;https://data.police.uk/api/stops-force?force=cleveland&date=2018-05;62499;200;True;
18;job;requests;1566396799.7868307;-0.0519261360168457;https://data.police.uk/api/stops-force?force=cleveland&date=2018-06;https://data.police.uk/api/stops-force?force=cleveland&date=2018-06;48871;200;True;
19;job;requests;1566396800.36273;-0.07587552070617676;https://data.police.uk/api/stops-force?force=cumbria&date=2018-04;https://data.police.uk/api/stops-force?force=cumbria&date=2018-04;80901;200;True;
20;job;requests;1566396800.96245;-0.05201363563537598;https://data.police.uk/api/stops-force?force=cumbria&date=2018-05;https://data.police.uk/api/stops-force?force=cumbria&date=2018-05;77230;200;True;
21;job;requests;1566396801.5384345;-0.05187821388244629;https://data.police.uk/api/stops-force?force=cumbria&date=2018-06;https://data.police.uk/api/stops-force?force=cumbria&date=2018-06;90228;200;True;
22;job;requests;1566396802.1182218;-0.05591106414794922;https://data.police.uk/api/stops-force?force=derbyshire&date=2018-04;https://data.police.uk/api/stops-force?force=derbyshire&date=2018-04;100337;200;True;
23;job;requests;1566396802.706132;-0.0479433536529541;https://data.police.uk/api/stops-force?force=derbyshire&date=2018-05;https://data.police.uk/api/stops-force?force=derbyshire&date=2018-05;86795;200;True;
24;job;requests;1566396803.2819922;-0.05184650421142578;https://data.police.uk/api/stops-force?force=derbyshire&date=2018-06;https://data.police.uk/api/stops-force?force=derbyshire&date=2018-06;99628;200;True;
25;job;requests;1566396803.8658438;-0.04784893989562988;https://data.police.uk/api/stops-force?force=devon-and-cornwall&date=2018-04;https://data.police.uk/api/stops-force?force=devon-and-cornwall&date=2018-04;2;200;True;
26;job;requests;1566396804.4177034;-0.04388594627380371;https://data.police.uk/api/stops-force?force=devon-and-cornwall&date=2018-05;https://data.police.uk/api/stops-force?force=devon-and-cornwall&date=2018-05;2;200;True;
27;job;requests;1566396804.9695644;-0.04788088798522949;https://data.police.uk/api/stops-force?force=devon-and-cornwall&date=2018-06;https://data.police.uk/api/stops-force?force=devon-and-cornwall&date=2018-06;2;200;True;
28;job;requests;1566396805.5332804;-0.059984683990478516;https://data.police.uk/api/stops-force?force=dorset&date=2018-04;https://data.police.uk/api/stops-force?force=dorset&date=2018-04;134085;200;True;
